day0,source,title,cancelled
1993-02-03,fomchistorical1993,February 2-3 Meeting - 1993,False
1993-03-23,fomchistorical1993,March 23 Meeting - 1993,False
1993-05-18,fomchistorical1993,May 18 Meeting - 1993,False
1993-07-07,fomchistorical1993,July 6-7 Meeting - 1993,False
1993-08-17,fomchistorical1993,August 17 Meeting - 1993,False
1993-09-21,fomchistorical1993,September 21 Meeting - 1993,False
1993-11-16,fomchistorical1993,November 16 Meeting - 1993,False
1993-12-21,fomchistorical1993,December 21 Meeting - 1993,False
1994-02-04,fomchistorical1994,February 3-4 Meeting - 1994,False
1994-03-22,fomchistorical1994,March 22 Meeting - 1994,False
1994-05-17,fomchistorical1994,May 17 Meeting - 1994,False
1994-07-06,fomchistorical1994,July 5-6 Meeting - 1994,False
1994-08-16,fomchistorical1994,August 16 Meeting - 1994,False
1994-09-27,fomchistorical1994,September 27 Meeting - 1994,False
1994-11-15,fomchistorical1994,November 15 Meeting - 1994,False
1994-12-20,fomchistorical1994,December 20 Meeting - 1994,False
1995-02-01,fomchistorical1995,January 31-February 1 Meeting - 1995,False
1995-03-28,fomchistorical1995,March 28 Meeting - 1995,False
1995-05-23,fomchistorical1995,May 23 Meeting - 1995,False
1995-07-06,fomchistorical1995,July 5-6 Meeting - 1995,False
1995-08-22,fomchistorical1995,August 22 Meeting - 1995,False
1995-09-26,fomchistorical1995,September 26 Meeting - 1995,False
1995-11-15,fomchistorical1995,November 15 Meeting - 1995,False
1995-12-19,fomchistorical1995,December 19 Meeting - 1995,False
1996-01-31,fomchistorical1996,January 30-31 Meeting - 1996,False
1996-03-26,fomchistorical1996,March 26 Meeting - 1996,False
1996-05-21,fomchistorical1996,May 21 Meeting - 1996,False
1996-07-03,fomchistorical1996,July 2-3 Meeting - 1996,False
1996-08-20,fomchistorical1996,August 20 Meeting - 1996,False
1996-09-24,fomchistorical1996,September 24 Meeting - 1996,False
1996-11-13,fomchistorical1996,November 13 Meeting - 1996,False
1996-12-17,fomchistorical1996,December 17 Meeting - 1996,False
1997-02-05,fomchistorical1997,February 4-5 Meeting - 1997,False
1997-03-25,fomchistorical1997,March 25 Meeting - 1997,False
1997-05-20,fomchistorical1997,May 20 Meeting - 1997,False
1997-07-02,fomchistorical1997,July 1-2 Meeting - 1997,False
1997-08-19,fomchistorical1997,August 19 Meeting - 1997,False
1997-09-30,fomchistorical1997,September 30 Meeting - 1997,False
1997-11-12,fomchistorical1997,November 12 Meeting - 1997,False
1997-12-16,fomchistorical1997,December 16 Meeting - 1997,False
1998-02-04,fomchistorical1998,February 3-4 Meeting - 1998,False
1998-03-31,fomchistorical1998,March 31 Meeting - 1998,False
1998-05-19,fomchistorical1998,May 19 Meeting - 1998,False
1998-07-01,fomchistorical1998,June 30-July 1 Meeting - 1998,False
1998-08-18,fomchistorical1998,August 18 Meeting - 1998,False
1998-09-29,fomchistorical1998,September 29 Meeting - 1998,False
1998-11-17,fomchistorical1998,November 17 Meeting - 1998,False
1998-12-22,fomchistorical1998,December 22 Meeting - 1998,False
1999-02-03,fomchistorical1999,February 2-3 Meeting - 1999,False
1999-03-30,fomchistorical1999,March 30 Meeting - 1999,False
1999-05-18,fomchistorical1999,May 18 Meeting - 1999,False
1999-06-30,fomchistorical1999,June 29-30 Meeting - 1999,False
1999-08-24,fomchistorical1999,August 24 Meeting - 1999,False
1999-10-05,fomchistorical1999,October 5 Meeting - 1999,False
1999-11-16,fomchistorical1999,November 16 Meeting - 1999,False
1999-12-21,fomchistorical1999,December 21 Meeting - 1999,False
2000-02-02,fomchistorical2000,February 1-2 Meeting - 2000,False
2000-03-21,fomchistorical2000,March 21 Meeting - 2000,False
2000-05-16,fomchistorical2000,May 16 Meeting - 2000,False
2000-06-28,fomchistorical2000,June 27-28 Meeting - 2000,False
2000-08-22,fomchistorical2000,August 22 Meeting - 2000,False
2000-10-03,fomchistorical2000,October 3 Meeting - 2000,False
2000-11-15,fomchistorical2000,November 15 Meeting - 2000,False
2000-12-19,fomchistorical2000,December 19 Meeting - 2000,False
2001-01-31,fomchistorical2001,January 30-31 Meeting - 2001,False
2001-03-20,fomchistorical2001,March 20 Meeting - 2001,False
2001-05-15,fomchistorical2001,May 15 Meeting - 2001,False
2001-06-27,fomchistorical2001,June 26-27 Meeting - 2001,False
2001-08-21,fomchistorical2001,August 21 Meeting - 2001,False
2001-10-02,fomchistorical2001,October 2 Meeting - 2001,False
2001-11-06,fomchistorical2001,November 6 Meeting - 2001,False
2001-12-11,fomchistorical2001,December 11 Meeting - 2001,False
2002-01-30,fomchistorical2002,January 29-30 Meeting - 2002,False
2002-03-19,fomchistorical2002,March 19 Meeting - 2002,False
2002-05-07,fomchistorical2002,May 7 Meeting - 2002,False
2002-06-26,fomchistorical2002,June 25-26 Meeting - 2002,False
2002-08-13,fomchistorical2002,August 13 Meeting - 2002,False
2002-09-24,fomchistorical2002,September 24 Meeting - 2002,False
2002-11-06,fomchistorical2002,November 6 Meeting - 2002,False
2002-12-10,fomchistorical2002,December 10 Meeting - 2002,False
2003-01-29,fomchistorical2003,January 28-29 Meeting - 2003,False
2003-03-18,fomchistorical2003,March 18 Meeting - 2003,False
2003-05-06,fomchistorical2003,May 6 Meeting - 2003,False
2003-06-25,fomchistorical2003,June 24-25 Meeting - 2003,False
2003-08-12,fomchistorical2003,August 12 Meeting - 2003,False
2003-09-16,fomchistorical2003,September 16 Meeting - 2003,False
2003-10-28,fomchistorical2003,October 28 Meeting - 2003,False
2003-12-09,fomchistorical2003,December 9 Meeting - 2003,False
2004-01-28,fomchistorical2004,January 27-28 Meeting - 2004,False
2004-03-16,fomchistorical2004,March 16 Meeting - 2004,False
2004-05-04,fomchistorical2004,May 4 Meeting - 2004,False
2004-06-30,fomchistorical2004,June 29-30 Meeting - 2004,False
2004-08-10,fomchistorical2004,August 10 Meeting - 2004,False
2004-09-21,fomchistorical2004,September 21 Meeting - 2004,False
2004-11-10,fomchistorical2004,November 10 Meeting - 2004,False
2004-12-14,fomchistorical2004,December 14 Meeting - 2004,False
2005-02-02,fomchistorical2005,February 1-2 Meeting - 2005,False
2005-03-22,fomchistorical2005,March 22 Meeting - 2005,False
2005-05-03,fomchistorical2005,May 3 Meeting - 2005,False
2005-06-30,fomchistorical2005,June 29-30 Meeting - 2005,False
2005-08-09,fomchistorical2005,August 9 Meeting - 2005,False
2005-09-20,fomchistorical2005,September 20 Meeting - 2005,False
2005-11-01,fomchistorical2005,November 1 Meeting - 2005,False
2005-12-13,fomchistorical2005,December 13 Meeting - 2005,False
2006-01-31,fomchistorical2006,January 31 Meeting - 2006,False
2006-03-28,fomchistorical2006,March 27-28 Meeting - 2006,False
2006-05-10,fomchistorical2006,May 10 Meeting - 2006,False
2006-06-29,fomchistorical2006,June 28-29 Meeting - 2006,False
2006-08-08,fomchistorical2006,August 8 Meeting - 2006,False
2006-09-20,fomchistorical2006,September 20 Meeting - 2006,False
2006-10-25,fomchistorical2006,October 24-25 Meeting - 2006,False
2006-12-12,fomchistorical2006,December 12 Meeting - 2006,False
2007-01-31,fomchistorical2007,January 30-31 Meeting - 2007,False
2007-03-21,fomchistorical2007,March 20-21 Meeting - 2007,False
2007-05-09,fomchistorical2007,May 9 Meeting - 2007,False
