contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
SPY261030C00470000,2026-09-24 15:55:53+00:00,470.0,296.35,301.29,305.27,0.0,0.0,2.0,4,0.8460708752441406,True,REGULAR,USD
SPY261030C00475000,2026-09-08 13:49:58+00:00,475.0,294.23,296.32,300.3,0.0,0.0,3.0,15,0.8325212060546874,True,REGULAR,USD
SPY261030C00480000,2026-09-11 20:07:17+00:00,480.0,285.74,291.34,295.32,0.0,0.0,1.0,1,0.8183611914062499,True,REGULAR,USD
SPY261030C00490000,2026-09-21 14:49:58+00:00,490.0,281.55,281.38,285.37,0.0,0.0,70.0,71,0.7905294384765625,True,REGULAR,USD
SPY261030C00495000,2026-09-11 17:18:10+00:00,495.0,271.78,276.42,280.4,0.0,0.0,,1,0.7775901147460937,True,REGULAR,USD
SPY261030C00500000,2026-09-09 16:46:10+00:00,500.0,263.62,271.44,275.43,0.0,0.0,2.0,2,0.7640404455566407,True,REGULAR,USD
SPY261030C00520000,2026-09-23 15:40:47+00:00,520.0,251.59,251.55,255.53,0.0,0.0,1.0,10,0.7108183215332031,True,REGULAR,USD
SPY261030C00525000,2026-09-17 17:41:22+00:00,525.0,238.44,246.57,250.56,0.0,0.0,,1,0.6975127905273439,True,REGULAR,USD
SPY261030C00530000,2026-06-10 14:52:40+00:00,530.0,212.98,229.04,232.46,0.0,0.0,,2,1.0000000000000003e-05,True,REGULAR,USD
SPY261030C00540000,2026-09-14 17:07:26+00:00,540.0,223.69,231.66,235.65,0.0,0.0,1.0,3,0.6589389575195312,True,REGULAR,USD
SPY261030C00545000,2026-09-14 17:13:00+00:00,545.0,218.57,226.68,230.68,0.0,0.0,1.0,2,0.6458775646972656,True,REGULAR,USD
SPY261030C00550000,2026-09-14 17:51:43+00:00,550.0,214.12,221.72,225.71,0.0,0.0,3.0,3,0.6334265173339844,True,REGULAR,USD
SPY261030C00555000,2026-09-18 14:11:21+00:00,555.0,207.84,216.74,220.74,0.0,0.0,1.0,2,0.6204871936035157,True,REGULAR,USD
SPY261030C00560000,2026-08-10 18:26:07+00:00,560.0,217.1,0.0,0.0,0.0,0.0,4.0,0,1.0000000000000003e-05,True,REGULAR,USD
SPY261030C00565000,2026-07-31 16:18:57+00:00,565.0,183.92,205.3,208.57,0.0,0.0,3.0,6,0.5836223278808592,True,REGULAR,USD
SPY261030C00570000,2026-09-15 14:51:05+00:00,570.0,188.4,202.7,205.08,0.0,0.0,25.0,1235,0.5853312951660157,True,REGULAR,USD
SPY261030C00575000,2026-09-23 15:38:54+00:00,575.0,196.81,196.88,200.87,0.0,0.0,1.0,31,0.5706219696044923,True,REGULAR,USD
SPY261030C00580000,2026-09-17 18:17:28+00:00,580.0,184.14,192.79,195.14,0.0,0.0,1.0,154,0.5607343731689454,True,REGULAR,USD
SPY261030C00585000,2026-09-24 15:12:19+00:00,585.0,185.8,186.94,190.94,3.9000092,2.1440403,1.0,29,0.5457198748779297,True,REGULAR,USD
SPY261030C00590000,2026-09-18 14:39:11+00:00,590.0,172.76,181.97,185.98,0.0,0.0,1.0,59,0.5333908966064453,True,REGULAR,USD
SPY261030C00595000,2026-09-17 18:44:00+00:00,595.0,169.13,177.88,180.26,0.0,0.0,44.0,315,0.5235643347167969,True,REGULAR,USD
SPY261030C00600000,2026-09-23 18:07:21+00:00,600.0,171.5,172.05,176.05,0.0,0.0,1.0,24,0.5089160437011719,True,REGULAR,USD
SPY261030C00605000,2026-09-16 19:46:46+00:00,605.0,149.83,167.09,171.09,0.0,0.0,1.0,10,0.5647016186523439,True,REGULAR,USD
SPY261030C00610000,2026-09-23 18:44:08+00:00,610.0,161.22,162.13,166.13,0.0,0.0,1.0,28,0.5509078112792969,True,REGULAR,USD
SPY261030C00615000,2026-09-16 13:57:48+00:00,615.0,147.32,157.17,161.18,0.0,0.0,1.0,4,0.5374191766357423,True,REGULAR,USD
