contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
SPY261030P00470000,2026-09-25 19:57:11+00:00,470.0,0.06,0.05,0.06,-0.02,-25.0,14.0,76216.0,0.5429733203125001,False,REGULAR,USD
SPY261030P00475000,2026-09-24 14:57:48+00:00,475.0,0.09,0.06,0.07,0.0,0.0,11.0,181.0,0.5410202148437502,False,REGULAR,USD
SPY261030P00480000,2026-09-23 14:47:44+00:00,480.0,0.08,0.06,0.07,0.0,0.0,5.0,417.0,0.5302781347656251,False,REGULAR,USD
SPY261030P00485000,2026-09-21 19:16:04+00:00,485.0,0.1,0.07,0.08,0.0,0.0,10.0,45.0,0.526371923828125,False,REGULAR,USD
SPY261030P00490000,2026-09-25 14:55:02+00:00,490.0,0.09,0.07,0.08,-0.009999998,-9.999997,5.0,237.0,0.51562984375,False,REGULAR,USD
SPY261030P00495000,2026-09-22 15:01:28+00:00,495.0,0.09,0.08,0.09,0.0,0.0,1.0,227.0,0.5107470800781251,False,REGULAR,USD
SPY261030P00500000,2026-09-25 19:25:57+00:00,500.0,0.09,0.08,0.09,-0.009999998,-9.999997,304.0,1573.0,0.500005,False,REGULAR,USD
SPY261030P00505000,2026-09-25 19:30:42+00:00,505.0,0.09,0.09,0.1,-0.049999997,-35.714283,6.0,233.0,0.49805189453125004,False,REGULAR,USD
SPY261030P00510000,2026-09-25 20:12:06+00:00,510.0,0.09,0.1,0.11,-0.03999999,-30.769224,2.0,752.0,0.49219257812500006,False,REGULAR,USD
SPY261030P00515000,2026-09-25 19:59:47+00:00,515.0,0.1,0.1,0.11,-0.04,-28.571428,12.0,309.0,0.481450498046875,False,REGULAR,USD
SPY261030P00520000,2026-09-25 19:30:54+00:00,520.0,0.11,0.11,0.12,-0.040000007,-26.666668,4.0,489.0,0.47461462890625,False,REGULAR,USD
SPY261030P00525000,2026-09-25 15:04:26+00:00,525.0,0.14,0.12,0.13,-0.040000007,-22.222223,3.0,418.0,0.4682670361328125,False,REGULAR,USD
SPY261030P00530000,2026-09-23 14:14:45+00:00,530.0,0.15,0.13,0.14,0.0,0.0,7.0,613.0,0.46143116699218756,False,REGULAR,USD
SPY261030P00535000,2026-09-24 19:09:04+00:00,535.0,0.17,0.13,0.14,0.0,0.0,1.0,218.0,0.45117736328125,False,REGULAR,USD
SPY261030P00540000,2026-09-25 17:39:29+00:00,540.0,0.16,0.14,0.15,-0.049999997,-23.809523,113.0,849.0,0.44385321777343745,False,REGULAR,USD
SPY261030P00545000,2026-09-25 19:35:19+00:00,545.0,0.16,0.15,0.16,-0.040000007,-20.000002,65.0,481.0,0.436529072265625,False,REGULAR,USD
SPY261030P00550000,2026-09-25 19:58:05+00:00,550.0,0.17,0.16,0.17,-0.06999999,-29.166664,216.0,680.0,0.4292049267578125,False,REGULAR,USD
SPY261030P00555000,2026-09-25 15:20:13+00:00,555.0,0.2,0.17,0.18,-0.059999987,-23.076918,1.0,443.0,0.42139250488281255,False,REGULAR,USD
SPY261030P00560000,2026-09-25 19:26:01+00:00,560.0,0.19,0.18,0.19,-0.060000002,-24.0,7.0,338.0,0.41358008300781246,False,REGULAR,USD
SPY261030P00565000,2026-09-25 19:39:35+00:00,565.0,0.21,0.2,0.21,-0.040000007,-16.000002,2.0,233.0,0.40820904296875,False,REGULAR,USD
SPY261030P00570000,2026-09-25 19:52:56+00:00,570.0,0.21,0.21,0.22,-0.07000001,-25.000004,43.0,150830.0,0.39990834472656256,False,REGULAR,USD
SPY261030P00575000,2026-09-25 19:38:22+00:00,575.0,0.22,0.22,0.23,-0.060000002,-21.428572,34.0,1285.0,0.39160764648437496,False,REGULAR,USD
SPY261030P00580000,2026-09-25 19:45:59+00:00,580.0,0.25,0.23,0.24,-0.050000012,-16.66667,11.0,3735.0,0.3833069482421875,False,REGULAR,USD
SPY261030P00585000,2026-09-25 20:08:01+00:00,585.0,0.26,0.25,0.26,-0.01000002,-3.703711,5.0,567.0,0.3767152172851562,False,REGULAR,USD
SPY261030P00590000,2026-09-25 19:59:16+00:00,590.0,0.27,0.26,0.27,-0.06999999,-20.588232,13.0,971.0,0.36817038085937503,False,REGULAR,USD
SPY261030P00595000,2026-09-24 19:59:43+00:00,595.0,0.35,0.28,0.29,0.0,0.0,94.0,21347.0,0.3610903735351562,False,REGULAR,USD
SPY261030P00600000,2026-09-25 20:05:53+00:00,600.0,0.31,0.3,0.31,-0.06999999,-18.421051,355.0,21695.0,0.3537662280273437,False,REGULAR,USD
SPY261030P00605000,2026-09-25 15:15:55+00:00,605.0,0.37,0.32,0.33,-0.01999998,-5.1282005,1.0,1088.0,0.3464420825195312,False,REGULAR,USD
SPY261030P00610000,2026-09-25 17:57:45+00:00,610.0,0.36,0.34,0.35,-0.06999999,-16.279068,29.0,1145.0,0.3386296606445312,False,REGULAR,USD
SPY261030P00615000,2026-09-25 18:30:53+00:00,615.0,0.38,0.36,0.37,-0.06999999,-15.555553,6.0,716.0,0.33081723876953123,False,REGULAR,USD
SPY261030P00620000,2026-09-25 19:41:47+00:00,620.0,0.39,0.38,0.39,-0.17000002,-30.357145,11.0,2397.0,0.32300481689453114,False,REGULAR,USD
SPY261030P00625000,2026-09-25 19:22:43+00:00,625.0,0.42,0.41,0.42,-0.109999985,-20.754715,48.0,895.0,0.31592480957031244,False,REGULAR,USD
SPY261030P00630000,2026-09-25 19:26:32+00:00,630.0,0.46,0.44,0.45,-0.12999997,-22.033894,7.0,2024.0,0.3086006640625,False,REGULAR,USD
SPY261030P00635000,2026-09-25 19:52:44+00:00,635.0,0.47,0.47,0.48,-0.19000003,-28.78788,70.0,646.0,0.30103238037109376,False,REGULAR,USD
SPY261030P00640000,2026-09-25 19:51:39+00:00,640.0,0.5,0.5,0.51,-0.110000014,-18.03279,19.0,610.0,0.29321995849609367,False,REGULAR,USD
SPY261030P00641000,2026-09-24 19:53:35+00:00,641.0,0.63,0.51,0.52,0.0,0.0,41.0,350.0,0.2919992675781249,False,REGULAR,USD
SPY261030P00642000,2026-09-25 17:33:33+00:00,642.0,0.55,0.51,0.52,-0.07999998,-12.69841,1.0,134.0,0.2898020239257812,False,REGULAR,USD
SPY261030P00643000,2026-09-25 15:11:34+00:00,643.0,0.63,0.52,0.53,-0.01999998,-3.0769203,1.0,393.0,0.2885813330078124,False,REGULAR,USD
SPY261030P00644000,2026-09-21 14:25:16+00:00,644.0,0.7,0.53,0.54,0.0,0.0,4.0,401.0,0.2873606420898437,False,REGULAR,USD
SPY261030P00645000,2026-09-25 13:55:55+00:00,645.0,0.55,0.54,0.55,-0.19,-25.675674,31.0,464.0,0.28601788208007806,False,REGULAR,USD
SPY261030P00646000,2026-09-23 15:48:51+00:00,646.0,0.64,0.54,0.55,0.0,0.0,1.0,141.0,0.28394270751953116,False,REGULAR,USD
SPY261030P00647000,2026-09-25 14:20:44+00:00,647.0,0.72,0.55,0.56,0.030000031,4.347831,3.0,142.0,0.2825999475097656,False,REGULAR,USD
SPY261030P00648000,2026-09-25 15:17:44+00:00,648.0,0.65,0.56,0.57,-0.04000002,-5.7971044,3.0,411.0,0.28125718749999995,False,REGULAR,USD
SPY261030P00649000,2026-09-24 14:12:36+00:00,649.0,0.77,0.57,0.58,0.0,0.0,6.0,167.0,0.2799144274902343,False,REGULAR,USD
SPY261030P00650000,2026-09-25 18:29:30+00:00,650.0,0.61,0.57,0.58,-0.120000005,-16.438356,60.0,8172.0,0.2778392529296875,False,REGULAR,USD
SPY261030P00651000,2026-09-24 13:54:15+00:00,651.0,0.8,0.58,0.59,0.0,0.0,5.0,60.0,0.27637442382812494,False,REGULAR,USD
SPY261030P00652000,2026-09-24 14:02:22+00:00,652.0,0.8,0.59,0.6,0.0,0.0,65.0,276.0,0.27503166381835936,False,REGULAR,USD
SPY261030P00653000,2026-09-23 13:30:02+00:00,653.0,0.65,0.6,0.61,0.0,0.0,158.0,528.0,0.27368890380859373,False,REGULAR,USD
SPY261030P00654000,2026-09-23 15:48:51+00:00,654.0,0.74,0.61,0.62,0.0,0.0,1.0,179.0,0.2722240747070312,False,REGULAR,USD
SPY261030P00655000,2026-09-25 16:52:50+00:00,655.0,0.67,0.62,0.63,-0.120000005,-15.189873,6.0,204.0,0.2708813146972656,False,REGULAR,USD
SPY261030P00656000,2026-09-25 17:39:41+00:00,656.0,0.67,0.63,0.64,-0.24000001,-26.373625,4.0,456.0,0.2694164855957031,False,REGULAR,USD
SPY261030P00657000,2026-09-22 13:29:59+00:00,657.0,0.75,0.64,0.65,0.0,0.0,1.0,543.0,0.2679516564941406,False,REGULAR,USD
SPY261030P00658000,2026-09-23 15:21:26+00:00,658.0,0.76,0.64,0.66,0.0,0.0,6.0,85.0,0.2664868273925781,False,REGULAR,USD
SPY261030P00659000,2026-09-18 19:51:22+00:00,659.0,1.14,0.65,0.67,0.0,0.0,1.0,314.0,0.2650219982910156,False,REGULAR,USD
SPY261030P00660000,2026-09-25 20:08:09+00:00,660.0,0.67,0.66,0.67,-0.16999996,-20.23809,63.0,831.0,0.26282475463867194,False,REGULAR,USD
SPY261030P00661000,2026-09-16 19:29:26+00:00,661.0,2.26,0.67,0.69,0.0,0.0,37.0,73.0,0.26197027099609377,False,REGULAR,USD
SPY261030P00662000,2026-09-25 13:32:09+00:00,662.0,0.79,0.68,0.69,-0.14999998,-15.957445,1.0,245.0,0.25989509643554687,False,REGULAR,USD
SPY261030P00663000,2026-09-23 17:04:25+00:00,663.0,0.95,0.69,0.71,0.0,0.0,118.0,592.0,0.25891854370117195,False,REGULAR,USD
SPY261030P00664000,2026-09-23 17:30:00+00:00,664.0,0.95,0.71,0.72,0.0,0.0,773.0,820.0,0.2574537145996094,False,REGULAR,USD
SPY261030P00665000,2026-09-25 19:56:39+00:00,665.0,0.73,0.72,0.73,-0.21999997,-23.15789,21.0,636.0,0.25586681640625003,False,REGULAR,USD
SPY261030P00666000,2026-09-24 19:55:16+00:00,666.0,0.92,0.73,0.74,0.0,0.0,17.0,382.0,0.25427991821289064,False,REGULAR,USD
SPY261030P00667000,2026-09-25 14:01:38+00:00,667.0,0.88,0.74,0.75,0.120000005,15.789474,1.0,309.0,0.25269302001953126,False,REGULAR,USD
SPY261030P00668000,2026-09-24 16:15:03+00:00,668.0,1.09,0.75,0.76,0.0,0.0,8.0,55.0,0.25110612182617187,False,REGULAR,USD
SPY261030P00669000,2026-09-24 18:03:16+00:00,669.0,1.05,0.76,0.78,0.0,0.0,15.0,93.0,0.25012956909179684,False,REGULAR,USD
SPY261030P00670000,2026-09-25 18:42:07+00:00,670.0,0.82,0.77,0.79,-0.17000002,-17.171719,123.0,76225.0,0.24848163635253906,False,REGULAR,USD
SPY261030P00671000,2026-09-25 15:42:06+00:00,671.0,0.93,0.79,0.8,-0.109999955,-10.576919,7.0,137.0,0.24683370361328127,False,REGULAR,USD
SPY261030P00672000,2026-09-25 15:12:51+00:00,672.0,0.98,0.8,0.81,-0.059999943,-5.7692256,1.0,44.0,0.2452468054199219,False,REGULAR,USD
SPY261030P00673000,2026-09-24 16:16:45+00:00,673.0,0.89,0.81,0.83,-0.18000007,-16.822435,1.0,819.0,0.24414818359375,False,REGULAR,USD
SPY261030P00674000,2026-09-25 19:40:33+00:00,674.0,0.84,0.83,0.84,-0.19999999,-19.230768,3.0,212.0,0.24243921630859372,False,REGULAR,USD
SPY261030P00675000,2026-09-25 19:23:37+00:00,675.0,0.84,0.84,0.85,-0.25000006,-22.935785,63.0,1440.0,0.24073024902343748,False,REGULAR,USD
SPY261030P00676000,2026-09-22 15:20:28+00:00,676.0,0.94,0.85,0.87,0.0,0.0,3.0,84.0,0.23957059265136715,False,REGULAR,USD
SPY261030P00677000,2026-09-24 16:16:13+00:00,677.0,1.2,0.87,0.88,0.0,0.0,121.0,189.0,0.23786162536621092,False,REGULAR,USD
SPY261030P00678000,2026-09-25 17:41:25+00:00,678.0,0.94,0.88,0.9,-0.22999996,-19.658117,3.0,287.0,0.23670196899414062,False,REGULAR,USD
SPY261030P00679000,2026-09-25 14:15:12+00:00,679.0,1.23,0.9,0.91,-0.059999943,-4.6511583,30.0,249.0,0.23493196716308595,False,REGULAR,USD
SPY261030P00680000,2026-09-25 19:32:42+00:00,680.0,0.92,0.91,0.93,-0.23999995,-20.689651,83.0,1508.0,0.23365024169921872,False,REGULAR,USD
SPY261030P00681000,2026-09-25 15:11:10+00:00,681.0,1.12,0.93,0.95,-0.110000014,-8.94309,2.0,382.0,0.23236851623535154,False,REGULAR,USD
SPY261030P00682000,2026-09-24 17:46:11+00:00,682.0,1.27,0.95,0.96,0.0,0.0,192.0,296.0,0.23059851440429688,False,REGULAR,USD
SPY261030P00683000,2026-09-25 16:32:09+00:00,683.0,1.0,0.96,0.98,-0.37,-27.0073,25.0,1814.0,0.22925575439453127,False,REGULAR,USD
SPY261030P00684000,2026-09-25 20:02:06+00:00,684.0,1.0,0.98,1.0,-0.23000002,-18.699188,2.0,559.0,0.22791299438476562,False,REGULAR,USD
SPY261030P00685000,2026-09-25 19:40:41+00:00,685.0,1.0,1.0,1.02,-0.27999997,-21.874998,34.0,12447.0,0.22657023437499998,False,REGULAR,USD
SPY261030P00686000,2026-09-24 16:30:54+00:00,686.0,1.31,1.02,1.03,0.0,0.0,23.0,331.0,0.22473919799804684,False,REGULAR,USD
SPY261030P00687000,2026-09-25 17:24:42+00:00,687.0,1.1,1.04,1.05,-0.24000001,-17.910448,189.0,145.0,0.22333540344238278,False,REGULAR,USD
SPY261030P00688000,2026-09-25 17:39:26+00:00,688.0,1.13,1.06,1.07,-0.21000004,-15.671644,15.0,3427.0,0.2219316088867187,False,REGULAR,USD
SPY261030P00689000,2026-09-25 17:40:15+00:00,689.0,1.14,1.08,1.09,-0.23000002,-16.788322,549.0,3140.0,0.22046677978515622,False,REGULAR,USD
SPY261030P00690000,2026-09-25 20:07:55+00:00,690.0,1.11,1.1,1.11,-0.26999998,-19.565216,126.0,5526.0,0.21900195068359374,False,REGULAR,USD
SPY261030P00691000,2026-09-25 15:01:20+00:00,691.0,1.34,1.12,1.13,-0.03999996,-2.898548,1.0,361.0,0.21753712158203126,False,REGULAR,USD
SPY261030P00692000,2026-09-25 17:30:56+00:00,692.0,1.21,1.14,1.16,-0.26,-17.687075,1.0,124.0,0.21637746520996093,False,REGULAR,USD
SPY261030P00693000,2026-09-25 19:19:40+00:00,693.0,1.19,1.16,1.18,-0.3399999,-22.222218,17.0,1754.0,0.2148516015625,False,REGULAR,USD
SPY261030P00694000,2026-09-25 17:40:14+00:00,694.0,1.23,1.18,1.2,-0.32999992,-21.153843,35.0,235.0,0.21326470336914063,False,REGULAR,USD
SPY261030P00695000,2026-09-25 20:08:35+00:00,695.0,1.22,1.21,1.23,-0.29999995,-19.73684,124.0,3044.0,0.21210504699707028,False,REGULAR,USD
SPY261030P00696000,2026-09-25 17:15:36+00:00,696.0,1.3,1.23,1.25,-0.24000001,-15.584416,57.0,396.0,0.21051814880371095,False,REGULAR,USD
